GeneID,4EFB,5408,5728,5B57,56E0,5411
0.1_5B57_5B57.2.1.gene,8.471131461817716e-05,3.224657485508551e-14,4.41462805910131e-07,0.1033092695987033,4.211627483662908e-06,0.0001934807679403318
0.1_5B57_5B57.2.10.gene,4.444074150396946e-07,6.247901901903365e-10,1.005884260727809e-07,0.100530133095577,7.5624254806436e-06,3.007592471246815e-05
0.1_5B57_5B57.2.100.gene,1.566391711193041e-09,1.232348715250331e-11,4.278662584227503e-10,0.1022448874683562,1.482907160451378e-11,1.613774480572879e-05
0.1_5B57_5B57.2.101.gene,7.726564350589569e-12,4.78789686579716e-07,5.162343851054053e-09,0.1156059590597266,8.623850150663854e-08,2.282967054945793e-05
0.1_5B57_5B57.2.102.gene,3.053845803218259e-07,3.414890709972223e-10,6.916352360991861e-12,0.102423658679167,2.337183330232513e-06,1.756584540291574e-06
0.1_5B57_5B57.2.103.gene,1.699255827964251e-09,2.556686695463225e-11,6.045222291022279e-07,0.102764968676639,1.446978092366721e-05,2.279299113766525e-09
0.1_5B57_5B57.2.104.gene,4.202573497274105e-08,3.015326732488372e-09,6.407647477178771e-08,0.1044927198049882,4.014642861017048e-07,6.884717726246974e-06
0.1_5B57_5B57.2.105.gene,1.036866022230943e-07,1.938498012385433e-07,1.236596650763268e-07,0.1032731275770755,4.17480519901797e-05,2.545433163000215e-06
0.1_5B57_5B57.2.106.gene,2.285667685835883e-09,4.292751515291652e-08,2.553475845627446e-06,0.1049781451958481,5.682923857352819e-10,1.396428164756309e-05
0.1_5B57_5B57.2.107.gene,7.355057434475764e-06,7.407706607146511e-09,2.440760103403014e-05,0.105366832783604,2.278239789756754e-06,4.986296369195058e-05
0.1_5B57_5B57.2.108.gene,6.361997279761816e-05,4.664438258354372e-11,6.168001038371852e-06,0.1058903817606199,1.375295532428309e-07,1.852123513928302e-07
0.1_5B57_5B57.2.109.gene,9.278206863070048e-05,9.441649383271362e-14,1.355626381173668e-06,0.1012859712765598,2.751947251797865e-07,2.451591236363509e-05
0.1_5B57_5B57.2.11.gene,2.216600434273987e-10,1.104655646574752e-10,1.220531892453204e-08,0.1003008560543725,5.547592431881004e-07,3.641687772478207e-10
0.1_5B57_5B57.2.110.gene,3.652710346885809e-06,4.51941227941909e-06,6.410987651163383e-06,0.1018539096203842,1.05948431127505e-05,4.442893529896705e-05
0.1_5B57_5B57.2.111.gene,1.067868303043872e-07,3.306112407414544e-13,8.079552327771596e-08,0.1354814806911236,2.336554925789458e-06,2.249633660580462e-05
0.1_5B57_5B57.2.112.gene,6.88222132069102e-09,2.044911506266442e-07,5.936868670781885e-07,0.1058873431846793,8.16218767175302e-06,1.010456221393843e-07
0.1_5B57_5B57.2.113.gene,1.016769565556018e-08,2.723412931485976e-11,1.172031742990405e-06,0.1020219605007489,6.240811743755139e-15,1.707014726070782e-05
0.1_5B57_5B57.2.114.gene,1.2368205228717e-09,1.763141932551456e-06,5.060448314739179e-07,0.1006557716502456,5.242010732834293e-11,3.914983054913859e-06
0.1_5B57_5B57.2.115.gene,3.911975923925591e-07,6.535153409083593e-06,1.47915143452873e-06,0.105318354983433,4.136712259663579e-06,1.205640067644374e-05
0.1_5B57_5B57.2.116.gene,1.789309857930279e-09,1.330263703623853e-08,1.529382037610324e-08,0.1020386137310394,6.060710130788558e-06,9.140710015383023e-05
0.1_5B57_5B57.2.117.gene,1.607008477763495e-09,3.788115650754837e-16,1.66176225013899e-17,0.1005379942355872,4.408065830745894e-07,4.616299313670706e-08
0.1_5B57_5B57.2.118.gene,9.355825298070236e-09,3.076454281304243e-10,4.941379219264751e-09,0.1010030051152522,1.441593763084911e-06,3.936478458573573e-08
0.1_5B57_5B57.2.119.gene,1.274475807668976e-05,1.289732813110342e-06,7.02490242841404e-09,0.1009158986408005,3.099243355727846e-07,0.0001834025808849127
0.1_5B57_5B57.2.12.gene,8.624431102630685e-05,4.269017172015189e-08,5.52362171105044e-08,0.1018030559697284,1.177375502339469e-05,1.041662860783888e-05
0.1_5B57_5B57.2.120.gene,3.143029661793269e-06,5.452927331226135e-07,1.958660318627846e-09,0.1028969423892304,1.729754349280823e-07,2.387326497772863e-05
0.1_5B57_5B57.2.121.gene,4.799575143367698e-11,6.782557527319628e-14,1.391521962153496e-11,0.1049456814459129,1.808035892269575e-07,6.892710902521861e-07
0.1_5B57_5B57.2.122.gene,7.583511374312083e-12,4.527659171016776e-17,2.901917658913114e-09,0.1122325266145056,2.686766465377163e-06,1.279407951240011e-06
0.1_5B57_5B57.2.123.gene,2.591454170385649e-06,1.684405272750768e-15,3.788783887063219e-09,0.1021262840801171,9.03860548423098e-07,5.386007497040451e-06
0.1_5B57_5B57.2.124.gene,7.395440046418402e-09,8.555880429414858e-14,6.972746401945638e-09,0.1136706704972376,2.513451299503017e-06,5.706813098188397e-06
0.1_5B57_5B57.2.125.gene,3.655231801559193e-12,1.730925337225311e-15,1.03613227624709e-07,0.1043939761488218,2.267969544060834e-05,1.26770344791352e-06
0.1_5B57_5B57.2.126.gene,0.0002507895603518401,3.981367902902221e-07,5.451782852640938e-07,0.101585429069914,5.510680355712757e-06,2.0749975262049e-05
0.1_5B57_5B57.2.127.gene,4.779983615252539e-08,9.87738847175158e-11,1.414112551731953e-06,0.1440271429652828,6.158697442919927e-06,2.590499558657604e-07
0.1_5B57_5B57.2.128.gene,5.083193504885579e-13,9.445695302612178e-08,1.500494131186124e-09,0.1188001955142397,1.067899277649726e-08,0.0002561775078617505
0.1_5B57_5B57.2.129.gene,1.045114170199261e-08,3.763944109410029e-14,2.283351452845289e-07,0.101307854801025,1.488960262847381e-05,5.187639759747998e-08
0.1_5B57_5B57.2.13.gene,1.437625782655875e-08,8.251451734790279e-10,9.116937683643652e-07,0.1214081791704719,4.674841492130954e-06,2.890012044826306e-06
0.1_5B57_5B57.2.130.gene,2.342781034193706e-09,7.144990525677861e-09,6.045434820157576e-10,0.1123241398756131,1.283120854140676e-11,2.54198037168873e-05
0.1_5B57_5B57.2.131.gene,2.747290821160395e-16,2.972399702397015e-08,2.828430652608514e-13,0.102734107748964,2.132950510275753e-08,3.244340911645365e-06
0.1_5B57_5B57.2.132.gene,7.247450243852801e-08,9.183591577648146e-09,1.556051316329876e-08,0.1073303660042703,2.066062651799198e-06,6.017289377515908e-07
0.1_5B57_5B57.2.133.gene,0.0001836369159462948,6.168198054994664e-12,1.086150079676602e-05,0.1263670931036938,1.18706270637777e-06,4.357630202495528e-06
0.1_5B57_5B57.2.134.gene,6.541629294538591e-06,2.574314790445759e-13,1.395927079511706e-06,0.1010264478693772,1.649307313100654e-05,6.731035703179947e-06
0.1_5B57_5B57.2.135.gene,5.884750979017172e-13,2.143145233445715e-08,3.95045893058075e-10,0.1005733298852124,7.122646865878062e-08,8.869495703139936e-08
0.1_5B57_5B57.2.136.gene,6.77645333079542e-09,6.274368170385033e-11,4.318671905767006e-06,0.1110605509896057,9.203557750193649e-11,1.63030937371857e-06
0.1_5B57_5B57.2.137.gene,4.017615523300966e-08,2.336078222367026e-08,1.020893405246068e-08,0.1058013252859985,3.767837992008078e-10,0.0002249745367964417
0.1_5B57_5B57.2.138.gene,3.793854314431562e-09,4.456012927902106e-08,3.751315811091515e-10,0.1000025117761818,2.361193262148461e-07,4.507087737642682e-07
0.1_5B57_5B57.2.139.gene,6.951988074357919e-06,7.996613368999272e-10,1.255724376870305e-06,0.1064119054093499,3.583533609455831e-07,5.88102726241866e-06
0.1_5B57_5B57.2.14.gene,3.70024572809086e-08,9.417508622112667e-14,1.668663679425394e-08,0.11708510214185,3.096519784398382e-06,1.282321682986148e-05
0.1_5B57_5B57.2.140.gene,2.616190826788284e-07,9.338164656348892e-06,1.592088923655234e-05,0.1010312055035543,0.0002046077296819384,4.526404615390043e-05
0.1_5B57_5B57.2.141.gene,1.929432075468815e-10,1.656809638192394e-06,4.157940012413866e-08,0.1057134167458893,5.795625447789219e-07,4.270861668279492e-05
0.1_5B57_5B57.2.142.gene,1.602968186419053e-08,1.01897962895154e-09,3.417178414716337e-07,0.1010305399237996,8.842558553029623e-06,1.127471507441752e-05
0.1_5B57_5B57.2.143.gene,1.866366585422123e-11,5.010085356440367e-11,1.573467668225418e-07,0.111219404957937,3.724574858121408e-05,4.491559746529983e-07
0.1_5B57_5B57.2.144.gene,3.910478494257183e-08,1.590045532188651e-11,9.747519371304297e-08,0.1045574799738392,7.254318620048471e-07,2.020204787292343e-06
0.1_5B57_5B57.2.145.gene,9.684706554081383e-07,2.551507869296653e-08,3.567539475230068e-07,0.1061635201960353,1.276700684652469e-05,1.935689555251191e-07
0.1_5B57_5B57.2.146.gene,0.0002688848651919587,3.469533675544885e-12,4.047635670372037e-06,0.1042987529968342,3.008288566231501e-15,4.318806081800353e-05
0.1_5B57_5B57.2.147.gene,1.06891315271824e-13,4.877478811216909e-07,3.237945800296717e-09,0.1063103698471632,6.967490407734893e-06,3.413378216657267e-05
0.1_5B57_5B57.2.148.gene,1.123916910429477e-09,4.520358499087398e-10,1.238894248566379e-08,0.1052146662128961,2.320413452267578e-09,7.046694659082321e-06
0.1_5B57_5B57.2.149.gene,1.337359406456481e-06,2.364690439250877e-13,1.22304846007327e-09,0.1015927515587517,3.662314299503054e-07,5.284728687613071e-06
0.1_5B57_5B57.2.15.gene,2.735111038070614e-18,3.149277894869262e-11,1.474189316683278e-10,0.1156305279295954,4.345576687576826e-06,8.08801731468429e-11
0.1_5B57_5B57.2.150.gene,3.064775311400749e-08,3.238349110029391e-12,8.576198613660599e-08,0.1030887195711503,1.256790791366473e-09,3.591033870844074e-07
0.1_5B57_5B57.2.151.gene,2.540695699544031e-08,5.463445984969594e-06,2.14909354820592e-07,0.102770099235842,1.879390207674609e-05,0.002730574126980892
0.1_5B57_5B57.2.152.gene,0.0002807741727706848,1.403479588548948e-07,1.907336961986554e-06,0.1012212861678314,0.0001781271453956209,1.192165794638187e-05
0.1_5B57_5B57.2.153.gene,2.766832757060282e-05,1.255378564797958e-06,8.464780626054043e-06,0.1501610653629094,0.000508386725854992,6.255450851166549e-05
0.1_5B57_5B57.2.154.gene,0.0006041872813780425,1.529987477893099e-12,9.233845074662191e-06,0.1161792537624831,1.391963945584936e-05,8.008322752900001e-05
0.1_5B57_5B57.2.155.gene,6.562395949587749e-10,3.370303907149727e-16,3.964907754700537e-09,0.1006578597913552,4.759604136864228e-07,5.13700652397137e-06
0.1_5B57_5B57.2.156.gene,2.590851848462547e-07,3.55543154136246e-09,1.533492319092393e-06,0.1066365304700043,5.348514104672436e-07,2.293852501053147e-05
0.1_5B57_5B57.2.157.gene,7.570035819694962e-05,2.018956260693947e-07,2.538256652345613e-07,0.1152089492258857,1.027878471226666e-05,6.260625617348652e-06
0.1_5B57_5B57.2.158.gene,7.201064760775477e-29,4.655310022969565e-06,3.945117789648009e-06,0.1063825409341645,2.90274196389728e-06,5.25815503182833e-09
0.1_5B57_5B57.2.159.gene,2.73298964818278e-08,5.894899811524295e-17,3.130515729049101e-06,0.1059618082152164,8.384760402201695e-06,1.218021306850119e-06
0.1_5B57_5B57.2.16.gene,1.108809190782795e-09,6.881244014095249e-07,1.433824340063265e-08,0.1079749198841596,5.040458697727651e-06,4.475631167802217e-05
0.1_5B57_5B57.2.160.gene,3.713582586307825e-08,1.492256993053098e-11,1.396787768048357e-08,0.1213008510822229,2.44330465648714e-06,1.041254812312146e-05
0.1_5B57_5B57.2.161.gene,9.125862384695432e-10,2.662007600781641e-05,1.62611660293062e-07,0.1069495852522426,1.2857195976827e-05,0.0005171527384462421
0.1_5B57_5B57.2.162.gene,4.700712905587362e-07,4.824372108188059e-11,1.171824848483731e-10,0.102452838996963,1.209868565320801e-09,4.030228689878381e-06
0.1_5B57_5B57.2.163.gene,0.0001499335213051532,4.758809232642666e-11,1.236736768938836e-07,0.1122750732405118,1.115481347866067e-05,0.0001497440005570318
0.1_5B57_5B57.2.164.gene,1.404745709040542e-08,3.981307799238736e-13,8.837962363140133e-09,0.1249743140443834,3.264720729831976e-06,2.073261816390607e-06
0.1_5B57_5B57.2.165.gene,1.437736277800061e-07,2.398623175173106e-09,4.508836461046828e-09,0.1031093214963047,4.056719325461175e-07,2.143204873765165e-05
0.1_5B57_5B57.2.166.gene,4.504171560750735e-10,3.168838489932373e-10,6.178905602971109e-09,0.1070849705654759,4.250385087619023e-10,5.427322811429715e-06
0.1_5B57_5B57.2.167.gene,7.444409831725523e-15,8.640819786388998e-09,7.152101384634787e-11,0.1013686143845703,2.671891910060094e-07,4.180903691699322e-08
0.1_5B57_5B57.2.168.gene,4.917874807294441e-10,3.637550518017586e-11,4.092183060285156e-14,0.1000409753043554,8.364368907115995e-07,2.666306190281235e-09
0.1_5B57_5B57.2.169.gene,0.0001567174629232629,4.177108745259775e-15,5.49917864430242e-07,0.1170434260047394,5.374442871600766e-06,6.387119950880121e-07
0.1_5B57_5B57.2.17.gene,1.20760801257524e-10,1.213216942000952e-10,1.503203865265549e-09,0.1105300622526167,3.970293620481711e-06,3.724377133669564e-06
0.1_5B57_5B57.2.170.gene,8.10974160400019e-05,2.232406065543564e-09,2.836030183447932e-05,0.03534738529363764,2.016067098221601e-07,0.0008088994044861374
0.1_5B57_5B57.2.171.gene,0.0002364235127781309,2.908234600364403e-12,1.633176474247693e-06,0.1031839229642803,2.730907865349356e-08,8.52347138796162e-05
0.1_5B57_5B57.2.172.gene,3.841838732715371e-07,1.522886082554852e-16,1.20668561542366e-07,0.102426422695718,3.402183221813121e-05,3.927644985824931e-07
