GeneID,4EFB,5408,5728,5B57,56E0,5411
0.05_56E0_56E0.02.1.gene,1.271906141818323e-07,1.66524794056548e-18,7.895430697290747e-06,1.510688939001814e-08,0.05134447478792264,0.0001774758794187781
0.05_56E0_56E0.02.10.gene,0.001037092847661527,5.500658855071311e-06,0.0001553805820497199,7.611944620948121e-08,0.05315746312650456,0.0005848464479073479
0.05_56E0_56E0.02.100.gene,8.43241612094953e-06,3.818601606462262e-09,8.64727665857989e-08,1.639016228470802e-09,0.05307192557217602,0.0002003933622266186
0.05_56E0_56E0.02.101.gene,6.156322361640602e-06,1.572584867077109e-18,1.225684588616058e-05,6.54901280996279e-10,0.0508992348072729,0.0001131693610231987
0.05_56E0_56E0.02.102.gene,9.009500338496995e-05,2.071810152579218e-08,0.0001303694263398133,4.14153648745151e-08,0.05115928628902418,0.0006633039396386867
0.05_56E0_56E0.02.103.gene,0.001826173706485416,1.571916209156598e-06,2.918781791596846e-05,6.398422278744853e-10,0.05530513043480605,0.000524161431612993
0.05_56E0_56E0.02.104.gene,4.138945267585545e-07,0.0007013731354950018,4.50510000876765e-11,1.902840968101637e-09,0.05255931619532797,0.001104955737886063
0.05_56E0_56E0.02.105.gene,9.655365150425228e-06,3.540786419205259e-08,7.770294410600862e-06,2.682773617951437e-13,0.0500522586735505,9.546410604575286e-05
0.05_56E0_56E0.02.106.gene,0.00125568120027854,7.564817926776245e-05,4.275938266920422e-05,8.76808892556051e-09,0.05134642838933579,0.0005784427850675758
0.05_56E0_56E0.02.107.gene,0.0003704073987360636,6.336689377333006e-05,9.12018922323114e-07,1.096472881222007e-08,0.05159839515835746,0.001383615207639997
0.05_56E0_56E0.02.108.gene,0.0001147403681389495,6.867561337570758e-05,8.819347838098682e-08,2.02997688047167e-08,0.05016106894636896,8.662729335038379e-11
0.05_56E0_56E0.02.109.gene,6.942854934932594e-05,1.663433110329669e-08,1.850176082870693e-09,1.620163743886903e-14,0.05195325459610355,0.000159897724950213
0.05_56E0_56E0.02.11.gene,6.802233244670842e-05,4.094398662566985e-06,3.49293614786558e-05,1.75720223989542e-07,0.05124555441385188,0.007442375237062386
0.05_56E0_56E0.02.110.gene,0.0003732650848837742,1.319167964033458e-11,0.0009415359632051447,1.66138858384212e-08,0.05774680197517165,0.01053249184530763
0.05_56E0_56E0.02.111.gene,0.001618400757156311,2.530914835213527e-10,6.90626827931979e-07,1.889237511701067e-07,0.05362187255583582,0.004954542248560482
0.05_56E0_56E0.02.112.gene,0.001552085001731383,6.616145124568666e-09,7.149404252815939e-07,1.837461843769185e-08,0.05077551642998259,0.0004039979070921855
0.05_56E0_56E0.02.113.gene,1.773180913214719e-07,3.997248029406552e-10,2.028752830881432e-07,1.151109290388293e-08,0.06547851754771782,0.000119326437517022
0.05_56E0_56E0.02.114.gene,4.651178232031554e-05,1.982918837954245e-21,2.229025098172569e-07,1.798170085624005e-10,0.05983938159158509,0.0005691692778979775
0.05_56E0_56E0.02.115.gene,3.714357935727576e-05,1.883417964507754e-10,2.827056729862137e-06,5.181230694780176e-12,0.05057714622180152,0.0001304951226000784
0.05_56E0_56E0.02.116.gene,4.383844891702826e-05,3.058622086026341e-11,2.846966468509478e-10,2.518745483654113e-12,2.180380667395915e-13,0.0005499652118109058
0.05_56E0_56E0.02.117.gene,1.502445603557535e-22,7.750722932058155e-10,4.773535180273975e-15,6.034796723906144e-12,0.05635320894003815,2.361207173926805e-05
0.05_56E0_56E0.02.118.gene,0.000421323520193741,7.703165621218141e-06,1.344281963770127e-05,6.973049289403673e-10,0.05423172267574831,0.0001141612255606366
0.05_56E0_56E0.02.119.gene,7.644883612971655e-27,7.701342963703994e-07,7.824713091597187e-13,9.567423916839757e-11,0.05189800212678349,0.0001536348160015198
0.05_56E0_56E0.02.12.gene,0.0009356441783567144,2.045895955870952e-07,1.959741492704042e-07,2.167519972285428e-11,0.06868862986399184,0.001486308625236042
0.05_56E0_56E0.02.120.gene,0.0003380591308444086,2.313775103020317e-07,1.55848562697666e-05,2.581899585438248e-15,0.05353167186784358,0.0004198284317477176
0.05_56E0_56E0.02.121.gene,2.255482101126005e-05,4.27142634649598e-09,3.207405043019921e-05,5.786133207146802e-09,0.05107244520746163,7.746347485269193e-05
0.05_56E0_56E0.02.122.gene,2.669417633970533e-05,1.052167879046673e-13,4.871797370421917e-06,1.498764996583244e-09,0.05182475081965683,0.0002044496316058695
0.05_56E0_56E0.02.123.gene,3.966290567458737e-11,3.452040977264331e-07,9.79743002298942e-13,7.234361055655013e-19,0.06353048864032428,0.0005688893932093361
0.05_56E0_56E0.02.124.gene,0.0002198226799028037,1.484190602574428e-06,2.636804591654017e-06,5.367825566687474e-06,0.06215263008746778,0.001510809227568207
0.05_56E0_56E0.02.125.gene,0.000575328677216218,4.03948462630363e-19,1.88405006498717e-05,1.726050059701222e-08,0.05061772609121004,2.788204209307735e-05
0.05_56E0_56E0.02.126.gene,0.001450642114100386,3.60556546489414e-12,3.131477503421188e-07,2.671510553146784e-07,0.05432913399723944,0.0009310678779762022
0.05_56E0_56E0.02.127.gene,2.406451162189988e-06,0.0001261670860637754,1.063244674441916e-06,1.997648389688853e-07,0.06186073660858891,0.00132005283005738
0.05_56E0_56E0.02.128.gene,7.910432331912532e-05,1.554000763564262e-09,6.710611526971826e-06,3.539538766403529e-08,0.05794207345918254,0.0001561907179695653
0.05_56E0_56E0.02.129.gene,0.0003802020529492032,6.838560966055684e-18,3.906213719003598e-05,3.581868746866976e-08,0.05486662172240256,0.001116328460904577
0.05_56E0_56E0.02.13.gene,1.12125617718651e-05,2.95373787726732e-06,1.148523618133407e-05,1.314418757685762e-10,0.0824682798198349,0.0004805365204548579
0.05_56E0_56E0.02.130.gene,1.420278672609009e-08,5.764902790877767e-13,7.230385843952179e-07,1.66894345461554e-07,0.05028012795608378,0.0001596768460294583
0.05_56E0_56E0.02.131.gene,6.845332411490906e-05,5.493635188654705e-11,1.021342066699611e-05,1.878979029117257e-08,0.05233320833364646,0.0009466111357351909
0.05_56E0_56E0.02.132.gene,1.567579748157735e-09,2.541101556690768e-05,4.245191894310404e-12,1.024554678027365e-09,0.05010956602511656,0.0002887775777585467
0.05_56E0_56E0.02.133.gene,2.586778862574682e-06,1.029688351858149e-05,2.398167891216705e-08,3.437983198657984e-08,0.05245204217563479,0.0001689739708800937
0.05_56E0_56E0.02.134.gene,2.082376543732399e-07,4.535565449201244e-08,2.44012041965259e-13,2.161155724402971e-15,1.517320417736182e-10,1.023886327494401e-05
0.05_56E0_56E0.02.135.gene,0.001176748387377991,7.47156362208038e-09,1.602619628537753e-05,3.52027580874251e-09,0.0516933482085998,0.005197606324428792
0.05_56E0_56E0.02.136.gene,1.648842010992621e-05,2.731406650076893e-19,3.085557626360668e-05,2.383405796370852e-09,0.05946342733039936,0.0002541621851772926
0.05_56E0_56E0.02.137.gene,0.0006937929126425063,4.62161468236702e-07,5.156327277843437e-07,5.720007508767624e-10,0.06078732295105976,1.172059536206716e-07
0.05_56E0_56E0.02.138.gene,0.0002489293855437451,3.367726155991114e-09,2.812593061094867e-07,8.664834789368592e-11,0.05656183820865385,6.19171944357407e-09
0.05_56E0_56E0.02.139.gene,0.0002487625665324899,7.54692290883509e-07,5.124993170068794e-05,3.272923314935602e-07,0.05684421449106868,0.0006649022342244818
0.05_56E0_56E0.02.14.gene,0.0001966796282993455,8.429978422037048e-06,2.264143318502488e-05,4.634601104853262e-09,0.05271813171578133,0.001188261702001404
0.05_56E0_56E0.02.140.gene,0.0006101947050849547,0.0002337861184209327,0.0004923266674202628,0.001365134110668083,0.0676637276780594,0.001853353603742197
0.05_56E0_56E0.02.141.gene,0.0009893458858162884,0.0002101903048809906,0.0004549440211878028,4.650929968256543e-07,0.07540409176283365,0.001882658662073187
0.05_56E0_56E0.02.142.gene,2.475900579493785e-06,1.256900009351859e-05,7.388153052660617e-07,9.207855194350467e-10,0.05510018832194485,1.179933738623928e-07
0.05_56E0_56E0.02.143.gene,0.001756731242613077,2.790850241264751e-12,3.505869903092751e-06,2.874546369394119e-07,0.05624365725148701,0.0006202378461471101
0.05_56E0_56E0.02.144.gene,8.096511480316548e-05,1.233065357835214e-11,3.378471038537768e-05,4.30845019341659e-08,0.05727265947615404,0.003445258791572556
